CODUSU,COMPONENTE,Edad,Genero,adulto_equiv,ad_equiv_hogar
TQRMNORUVHKOSOCDEIJAH00786204,5,5,2,0.6,3.74
TQRMNOQPVHJMTQCDEIJAH00796211,2,36,2,0.77,2.98
TQRMNOQPVHJMTQCDEIJAH00796211,3,17,2,0.77,2.98
TQRMNOQPVHJMTQCDEIJAH00796211,4,8,2,0.68,2.98
TQRMNOQPVHJMTQCDEIJAH00796211,5,13,2,0.76,2.98
TQRMNOPWXHJNRRCDEIJAH00793921,2,81,2,0.63,2.46
TQRMNOPWXHJNRRCDEIJAH00793921,3,45,1,1.0,2.46
TQRMNOTRYHKOQQCDEIJAH00780859,3,29,1,1.02,2.42
TQRMNOTRYHKOQQCDEIJAH00780859,5,20,2,0.76,2.42
TQRMNOTRYHKOQQCDEIJAH00780859,6,6,1,0.64,2.42
TQRMNOQRSHJKMMCDEIIAD00793873,1,54,1,1.0,3.81
TQRMNOQRSHJKMMCDEIIAD00793873,3,22,1,1.02,3.81
TQRMNOQRSHJKMMCDEIIAD00793873,4,20,1,1.02,3.81
TQRMNOQRSHJKMMCDEIIAD00793873,5,16,2,0.77,3.81
TQRMNOPUVHMMKOCDEIJAH00801931,4,30,2,0.77,4.12
TQRMNOPUVHMMKOCDEIJAH00801931,5,35,2,0.77,4.12
TQRMNOPUVHMMKOCDEIJAH00801931,6,13,2,0.76,4.12
TQRMNOPUVHMMKOCDEIJAH00801931,7,9,2,0.69,4.12
TQRMNOPUVHMMKOCDEIJAH00801931,8,2,2,0.46,4.12
TQRMNOQWYHMMKOCDEIJAH00801933,1,54,2,0.76,0.76
TQRMNORUWHMMKOCDEIJAH00801934,1,81,1,0.74,1.41
TQRMNORUWHMMKOCDEIJAH00801934,2,71,2,0.67,1.41
TQRMNOPPWHJMTRCDEIJAH00801941,1,71,2,0.67,0.67
TQRMNOPPXHJMTRCDEIJAH00793352,1,62,2,0.67,2.13
TQRMNOPPRHLNKTCDEIIAD00797052,1,84,1,0.74,0.74
TQRMNORPYHKKLLCDEIIAD00785337,1,30,1,1.0,2.31
TQRMNORPYHKKLLCDEIIAD00785337,2,28,2,0.76,2.31
TQRMNORPYHKKLLCDEIIAD00785337,3,4,1,0.55,2.31
TQRMNOPRSHKLLPCDEIIAD00779895,1,25,2,0.76,0.76
TQRMNOPVWHMMKPCDEIJAH00801935,2,63,1,0.83,0.83
TQRMNOPQPHLKMUCDEIJAH00719325,1,48,1,1.0,1.0
TQRMNOVXYHMKMQCDEIJAH00801936,1,80,2,0.63,1.37
TQRMNOVXYHMKMQCDEIJAH00801936,2,80,1,0.74,1.37
TQRMNOPPXHJMTRCDEIJAH00793352,2,92,2,0.63,2.13
TQRMNOPPXHJMTRCDEIJAH00793352,4,68,1,0.83,2.13
TQRMNOUTSHKNQMCDEIJAH00801954,1,51,2,0.76,3.71
TQRMNOUTSHKNQMCDEIJAH00801954,2,18,1,1.02,3.71
TQRMNOUTSHKNQMCDEIJAH00801954,3,16,1,1.03,3.71
TQRMNOUTSHKNQMCDEIJAH00801954,4,13,1,0.9,3.71
TQRMNOPPTHKMQNCDEIJAH00780935,1,38,1,1.0,3.27
TQRMNOPPTHKMQNCDEIJAH00780935,2,33,2,0.77,3.27
TQRMNOPPTHKMQNCDEIJAH00780935,3,8,2,0.68,3.27
TQRMNOPPTHKMQNCDEIJAH00780935,4,11,1,0.82,3.27
TQRMNOPSVHLOTUCDEIJAH00798015,1,75,2,0.67,0.67
TQRMNOSRSHMKKOCDEIJAH00801999,1,70,2,0.67,0.67
TQRMNOUSWHJMKPCDEIIAD00793932,1,41,2,0.77,1.79
TQRMNOUSWHJMKPCDEIIAD00793932,2,19,1,1.02,1.79
TQRMNOPVXHLMKOCDEIIAD00718601,1,68,1,0.83,3.5
TQRMNOSSTHLONNCDEIJAH00801937,1,50,1,1.0,2.02
TQRMNOSSTHLONNCDEIJAH00801937,3,24,1,1.02,2.02
TQRMNOSQYHKOMTCDEIJAH00785744,1,34,1,1.0,3.78
TQRMNOSQYHKOMTCDEIJAH00785744,2,29,2,0.76,3.78
TQRMNOSQYHKOMTCDEIJAH00785744,3,19,2,0.76,3.78
TQRMNOSQYHKOMTCDEIJAH00785744,4,7,1,0.66,3.78
TQRMNOSQYHKOMTCDEIJAH00785744,5,5,2,0.6,3.78
TQRMNORVYHMMMUCDEIJAH00801938,1,25,1,1.02,1.78
TQRMNORVYHMMMUCDEIJAH00801938,2,24,2,0.76,1.78
TQRMNOPQVHLNQSCDEIJAH00801955,1,43,1,1.0,2.59
TQRMNOPQVHLNQSCDEIJAH00801955,2,41,2,0.77,2.59
TQRMNOPQVHLNQSCDEIJAH00801955,3,11,1,0.82,2.59
TQRMNOQYUHMNQUCDEIJAH00801956,1,35,1,1.0,1.0
TQRMNORUUHLNQTCDEIJAH00718798,1,74,2,0.67,0.67
TQRMNOQXUHLLPQCDEIJAH00797479,1,66,2,0.67,0.67
TQRMNOPQPHMNPNCDEIJAH00801991,1,46,2,0.76,2.69
TQRMNOPQPHMNPNCDEIJAH00801991,3,10,1,0.79,2.69
TQRMNOPQPHMNPNCDEIJAH00801991,4,8,2,0.68,2.69
TQRMNOPQPHMNPNCDEIJAH00801991,5,2,1,0.46,2.69
TQRMNOPVXHLMKOCDEIIAD00718601,2,68,2,0.67,3.5
TQRMNOPVXHLMKOCDEIIAD00718601,3,35,1,1.0,3.5
TQRMNOPVXHLMKOCDEIIAD00718601,4,30,1,1.0,3.5
TQRMNOQPPHMOKNCDEIIAD00801659,1,76,2,0.63,0.63
TQRMNOTVQHLKKQCDEIIAD00801660,1,26,2,0.76,0.76
TQRMNOSTTHMMTPCDEIJAH00802000,1,30,2,0.77,2.37
TQRMNOSTTHMMTPCDEIJAH00802000,2,5,1,0.6,2.37
